run_id,epoch,val_loss,class1,class2,class3,early_epoch,val_loss_at_early_epoch
4qxm86rl,120,0.2279391288757324,sea_slug,Appenzeller,soft-coated_wheaten_terrier,21,
7ynabl8h,119,0.7073783874511719,running_shoe,tow_truck,missile,23,
kr1ujz2e,85,0.6529563665390015,strawberry,pug,necklace,22,
9774b8tp,100,0.6893889904022217,borzoi,planetarium,pajama,16,
z8shdukb,91,1.958626747131348,cellular_telephone,sewing_machine,vizsla,15,
h24a52xg,112,2.0613489151000977,barn_spider,ruddy_turnstone,Airedale,21,
zxe9cxvv,124,1.750766396522522,otterhound,chimpanzee,ant,21,
87kpfjp8,112,0.2577460706233978,canoe,barometer,American_lobster,22,
jqxs72e5,99,0.188417911529541,red_wolf,pick,Ibizan_hound,19,
szj4msba,93,1.648184895515442,mashed_potato,vacuum,breakwater,17,
b2mqkh26,108,0.6471464037895203,sewing_machine,limpkin,chambered_nautilus,22,
at5v8qrp,80,0.1449181884527206,mud_turtle,black_and_gold_garden_spider,police_van,20,
88xvwasc,107,0.5994749069213867,mixing_bowl,carpenter's_kit,lesser_panda,17,
9hzk1r7s,85,1.2071959972381592,crash_helmet,paddle,Angora,15,
g7zdpa53,108,0.4735431671142578,dock,ruddy_turnstone,trombone,17,
k8nlq812,96,0.3411403596401214,police_van,wire-haired_fox_terrier,schooner,19,
6czsobz2,93,0.5293356776237488,bolete,maillot,acoustic_guitar,17,
0y0j8j9j,85,0.2196830064058304,borzoi,Siamese_cat,indigo_bunting,15,
twi0y54g,93,0.337485522031784,proboscis_monkey,geyser,shower_cap,19,
s7tr7wpi,107,0.5484328269958496,bassoon,crayfish,minivan,24,
lev18gj4,114,1.2930481433868408,chain,Staffordshire_bullterrier,jean,21,
f5rb997r,106,0.0670846551656723,green_lizard,desktop_computer,Border_collie,21,
ndx7efip,119,1.0646857023239136,rubber_eraser,swimming_trunks,house_finch,23,
jpa8a043,137,0.5323656797409058,ram,potter's_wheel,china_cabinet,24,
ijufpjqo,94,1.051338791847229,pencil_sharpener,cabbage_butterfly,cockroach,24,
i7yfuq73,95,1.392625093460083,ballpoint,perfume,letter_opener,17,
p2zclkrj,77,0.2486255764961242,jack-o'-lantern,Pembroke,picket_fence,21,
0ztb1xdv,116,0.0062961941584944,Sealyham_terrier,Bouvier_des_Flandres,triumphal_arch,15,
hng3i8yp,118,1.2840362787246704,space_shuttle,golf_ball,cradle,18,
cjw88sjp,85,0.4748775064945221,French_bulldog,rugby_ball,canoe,18,
cdg4pfls,108,0.2341888099908828,pillow,gorilla,indigo_bunting,19,
6citgdhy,117,0.1428561508655548,police_van,American_chameleon,nematode,21,
5ysulkb4,102,0.4728642404079437,poncho,lawn_mower,hippopotamus,21,
fqg7uua2,111,0.4626027345657348,shovel,sandbar,echidna,18,
ciih7b0i,101,0.4175145328044891,library,sports_car,breakwater,21,
h6dox2fb,80,1.4968750476837158,soap_dispenser,totem_pole,toaster,17,
4hqnv9fv,114,0.5512861013412476,mongoose,long-horned_beetle,nematode,20,
qmg3l98i,118,0.5808954238891602,Labrador_retriever,abacus,shower_curtain,16,
g0pm96v6,110,1.371448278427124,missile,chow,triceratops,24,
he844hvw,84,0.209503710269928,junco,moped,pizza,23,
q88j7z6a,87,1.0982396602630615,chiton,barbershop,radiator,19,
ddr6engc,82,1.2453913688659668,starfish,prison,organ,20,
y91g0dzp,110,0.6655586957931519,dough,holster,water_tower,18,
sp461i8q,118,0.5151117444038391,coyote,fireboat,pencil_box,24,
563atagr,105,1.2456228733062744,Airedale,trench_coat,jackfruit,21,
q412hmp0,113,0.6364515423774719,lorikeet,go-kart,schipperke,23,
l95u5txn,85,0.6910072565078735,platypus,volleyball,diaper,21,
lbtoi3wf,101,0.8096219897270203,hair_slide,crate,head_cabbage,15,
b16bxqa4,78,0.424321562051773,banana,wombat,wok,15,
oeivrvmv,87,1.2862963676452637,electric_fan,quail,washbasin,23,
w84v3ltd,112,0.4283169507980346,overskirt,iron,Gila_monster,23,
ychbuqn5,95,0.5639842748641968,hog,Model_T,pug,18,
eds7733m,117,0.3693817257881164,dogsled,manhole_cover,pick,23,
at8nagug,107,1.650282859802246,notebook,limousine,tub,17,
bs4phmpl,140,5.675634860992432,mousetrap,pelican,minibus,21,
583dhvyk,100,0.6881299018859863,maypole,macaw,letter_opener,20,
fd8gj904,77,1.1741573810577393,starfish,capuchin,analog_clock,22,
v64s5qrx,98,0.9270206689834596,oxygen_mask,clumber,book_jacket,23,
c6o514lw,84,0.0921819061040878,miniature_poodle,trolleybus,Boston_bull,19,
fclc3zzk,113,0.1653335094451904,hamster,monarch,Angora,15,
3exiifvc,99,0.8612038493156433,hen-of-the-woods,lumbermill,ruddy_turnstone,17,
