run_id,run_name,class1,class2,class3,artifact_name,artifact_epoch,val_loss,val_accuracy,calculated_mean,calculated_std
sbq9t1sz,forgotten-beast-1174,maillot,pug,wire-haired_fox_terrier,mpTyNaBs7GkBhBAbusY8rr_18.pth,18,1.3236842155456543,0.6807228922843933,"[0.5172187685966492, 0.49254748225212097, 0.4549388587474823]","[0.2839265465736389, 0.2763228714466095, 0.2868621349334717]"
sbq9t1sz,forgotten-beast-1174,maillot,pug,wire-haired_fox_terrier,mpTyNaBs7GkBhBAbusY8rr_20.pth,20,4.969111919403076,0.421686738729477,"[0.5172187685966492, 0.49254748225212097, 0.4549388587474823]","[0.2839265465736389, 0.2763228714466095, 0.2868621349334717]"
1r915p26,distant-treat-1173,mixing_bowl,sea_slug,wire-haired_fox_terrier,h7CTx9uA6t7eE3Znm5TcWD_18.pth,18,0.4050275385379791,0.8943489193916321,"[0.47899818420410156, 0.4364984333515167, 0.3722069561481476]","[0.2837204337120056, 0.2745252251625061, 0.2812538146972656]"
1r915p26,distant-treat-1173,mixing_bowl,sea_slug,wire-haired_fox_terrier,h7CTx9uA6t7eE3Znm5TcWD_45.pth,45,0.4358261823654175,0.8906633853912354,"[0.47899818420410156, 0.4364984333515167, 0.3722069561481476]","[0.2837204337120056, 0.2745252251625061, 0.2812538146972656]"
wgs5di6h,shadowed-cobweb-1172,breakwater,black_and_gold_garden_spider,ruddy_turnstone,WuJCb47eH7eXnQiNB2hQoJ_13.pth,13,0.862641453742981,0.8002755045890808,"[0.48248887062072754, 0.5026274919509888, 0.4657699763774872]","[0.23336410522460938, 0.22850055992603302, 0.2626797556877136]"
wgs5di6h,shadowed-cobweb-1172,breakwater,black_and_gold_garden_spider,ruddy_turnstone,WuJCb47eH7eXnQiNB2hQoJ_46.pth,46,0.4270749986171722,0.8994490504264832,"[0.48248887062072754, 0.5026274919509888, 0.4657699763774872]","[0.23336410522460938, 0.22850055992603302, 0.2626797556877136]"
9wiwkpyj,forgotten-claw-1171,tow_truck,red_wolf,crash_helmet,fFUxenKM4yd6fopwn3qD5t_15.pth,15,6.049841403961182,0.5134048461914062,"[0.47767794132232666, 0.46076226234436035, 0.41804325580596924]","[0.28650352358818054, 0.281255841255188, 0.2918720543384552]"
9wiwkpyj,forgotten-claw-1171,tow_truck,red_wolf,crash_helmet,fFUxenKM4yd6fopwn3qD5t_27.pth,27,1.219933032989502,0.7560321688652039,"[0.47767794132232666, 0.46076226234436035, 0.41804325580596924]","[0.28650352358818054, 0.281255841255188, 0.2918720543384552]"
eby43a6k,ineffable-cauldron-1170,wire-haired_fox_terrier,mashed_potato,crash_helmet,VosYUcDPcYy986N7bBMQkQ_17.pth,17,0.38758111000061035,0.8794788122177124,"[0.5167168974876404, 0.4706140458583832, 0.4082474112510681]","[0.29408034682273865, 0.28902098536491394, 0.2973417341709137]"
eby43a6k,ineffable-cauldron-1170,wire-haired_fox_terrier,mashed_potato,crash_helmet,VosYUcDPcYy986N7bBMQkQ_46.pth,46,0.4067138433456421,0.9006514549255371,"[0.5167168974876404, 0.4706140458583832, 0.4082474112510681]","[0.29408034682273865, 0.28902098536491394, 0.2973417341709137]"
ablz4vba,sleepless-disguise-1169,borzoi,angora,planetarium,SQjYoJGfHjrBKuZEqcncqb_15.pth,15,0.5169416666030884,0.835218071937561,"[0.46182936429977417, 0.45513254404067993, 0.42968177795410156]","[0.263759583234787, 0.2592185437679291, 0.27892693877220154]"
ablz4vba,sleepless-disguise-1169,borzoi,angora,planetarium,SQjYoJGfHjrBKuZEqcncqb_75.pth,75,1.040607213973999,0.848142147064209,"[0.46182936429977417, 0.45513254404067993, 0.42968177795410156]","[0.263759583234787, 0.2592185437679291, 0.27892693877220154]"
xizsgp02,spectral-crypt-1168,siamese_cat,running_shoe,pug,TvcLonYMW8vsVurAeZqQJF_13.pth,13,1.1542402505874634,0.6703296899795532,"[0.4993133842945099, 0.4664930999279022, 0.4314231276512146]","[0.2835821807384491, 0.2809188663959503, 0.2892131805419922]"
xizsgp02,spectral-crypt-1168,siamese_cat,running_shoe,pug,TvcLonYMW8vsVurAeZqQJF_44.pth,44,1.0084394216537476,0.7098901271820068,"[0.4993133842945099, 0.4664930999279022, 0.4314231276512146]","[0.2835821807384491, 0.2809188663959503, 0.2892131805419922]"
2mao0cdy,howling-seance-1167,mud_turtle,chambered_nautilus,missile,gDiwxdfc2TdGvRJAUzWmku_12.pth,12,2.084149122238159,0.6268174648284912,"[0.4495488405227661, 0.4450919032096863, 0.4215947389602661]","[0.28276947140693665, 0.2734486758708954, 0.28814154863357544]"
2mao0cdy,howling-seance-1167,mud_turtle,chambered_nautilus,missile,gDiwxdfc2TdGvRJAUzWmku_30.pth,30,0.6082096695899963,0.8239095211029053,"[0.4495488405227661, 0.4450919032096863, 0.4215947389602661]","[0.28276947140693665, 0.2734486758708954, 0.28814154863357544]"
oim1flzx,ineffable-skeleton-1166,american_lobster,vizsla,necklace,M8DQQZgH2bYxrwSNDUub9h_13.pth,13,0.5105894207954407,0.846875011920929,"[0.5394799113273621, 0.4725450873374939, 0.4084242880344391]","[0.2672157287597656, 0.2678459584712982, 0.28365495800971985]"
oim1flzx,ineffable-skeleton-1166,american_lobster,vizsla,necklace,M8DQQZgH2bYxrwSNDUub9h_30.pth,30,0.5388987064361572,0.840624988079071,"[0.5394799113273621, 0.4725450873374939, 0.4084242880344391]","[0.2672157287597656, 0.2678459584712982, 0.28365495800971985]"
8tj0sgtk,possessed-horseman-1165,lesser_panda,mashed_potato,pick,hHLjAHiYrvrBrpmpAcfdj6_12.pth,12,0.4229637384414673,0.8842874765396118,"[0.4960874319076538, 0.45051589608192444, 0.3740960955619812]","[0.2877665162086487, 0.2819960117340088, 0.28707802295684814]"
8tj0sgtk,possessed-horseman-1165,lesser_panda,mashed_potato,pick,hHLjAHiYrvrBrpmpAcfdj6_51.pth,51,0.3842735886573791,0.8915956020355225,"[0.4960874319076538, 0.45051589608192444, 0.3740960955619812]","[0.2877665162086487, 0.2819960117340088, 0.28707802295684814]"
hwwrobte,strange-skull-1164,police_van,ruddy_turnstone,acoustic_guitar,TjReEM9t34rLtgT8od2fPj_17.pth,17,21.00178337097168,0.5160220861434937,"[0.5090746283531189, 0.4771859645843506, 0.4386168420314789]","[0.2990373969078064, 0.29456523060798645, 0.3065715432167053]"
hwwrobte,strange-skull-1164,police_van,ruddy_turnstone,acoustic_guitar,TjReEM9t34rLtgT8od2fPj_62.pth,62,0.2196427285671234,0.939226508140564,"[0.5090746283531189, 0.4771859645843506, 0.4386168420314789]","[0.2990373969078064, 0.29456523060798645, 0.3065715432167053]"
t3r288qo,forlorn-seance-1163,barn_spider,acoustic_guitar,mixing_bowl,PkQcWcwebYqfpxQ9AQ3nKX_11.pth,11,1.9804188013076782,0.5997552275657654,"[0.5348526835441589, 0.4839431047439575, 0.4284619092941284]","[0.3205922842025757, 0.3180936872959137, 0.3304835557937622]"
t3r288qo,forlorn-seance-1163,barn_spider,acoustic_guitar,mixing_bowl,PkQcWcwebYqfpxQ9AQ3nKX_25.pth,25,0.4425871074199677,0.8776009678840637,"[0.5348526835441589, 0.4839431047439575, 0.4284619092941284]","[0.3205922842025757, 0.3180936872959137, 0.3304835557937622]"
rtdnxio0,eldritch-monster-1162,borzoi,ruddy_turnstone,necklace,dXnK663qp9qfCHsjsZcV35_13.pth,13,0.4970826804637909,0.8601863980293274,"[0.5343655347824097, 0.5153159499168396, 0.48103415966033936]","[0.260593980550766, 0.2583814859390259, 0.2733776867389679]"
rtdnxio0,eldritch-monster-1162,borzoi,ruddy_turnstone,necklace,dXnK663qp9qfCHsjsZcV35_34.pth,34,0.4946250319480896,0.868175745010376,"[0.5343655347824097, 0.5153159499168396, 0.48103415966033936]","[0.260593980550766, 0.2583814859390259, 0.2733776867389679]"
di29pjhp,arcane-fantasy-1161,pick,dock,breakwater,7bpJhWzwbdAFP8Wbz8vAi4_13.pth,13,0.3831314146518707,0.8285714387893677,"[0.49823856353759766, 0.49746593832969666, 0.5005064010620117]","[0.2841923236846924, 0.28265050053596497, 0.3027295470237732]"
di29pjhp,arcane-fantasy-1161,pick,dock,breakwater,7bpJhWzwbdAFP8Wbz8vAi4_43.pth,43,0.646341860294342,0.7984962463378906,"[0.49823856353759766, 0.49746593832969666, 0.5005064010620117]","[0.2841923236846924, 0.28265050053596497, 0.3027295470237732]"
7yea94pe,unearthly-ghoul-1160,sewing_machine,dock,chambered_nautilus,bFFucNm8wrHoUpYRyVdcvV_18.pth,18,0.40041565895080566,0.8875969052314758,"[0.48389875888824463, 0.46489062905311584, 0.44441765546798706]","[0.30576032400131226, 0.30203336477279663, 0.31321972608566284]"
7yea94pe,unearthly-ghoul-1160,sewing_machine,dock,chambered_nautilus,bFFucNm8wrHoUpYRyVdcvV_47.pth,47,0.3902386724948883,0.8837209343910217,"[0.48389875888824463, 0.46489062905311584, 0.44441765546798706]","[0.30576032400131226, 0.30203336477279663, 0.31321972608566284]"
83tcpboy,restless-spirit-1159,carpenter's_kit,bolete,ant,SPDgGD3J4iMdEX49TaiYkg_11.pth,11,0.627383828163147,0.81455397605896,"[0.49573254585266113, 0.46594932675361633, 0.3842321038246155]","[0.28204479813575745, 0.2733927369117737, 0.28705301880836487]"
83tcpboy,restless-spirit-1159,carpenter's_kit,bolete,ant,SPDgGD3J4iMdEX49TaiYkg_72.pth,72,0.5681971311569214,0.8462441563606262,"[0.49573254585266113, 0.46594932675361633, 0.3842321038246155]","[0.28204479813575745, 0.2733927369117737, 0.28705301880836487]"
2g9yjy2p,forgotten-apparition-1158,airedale,tow_truck,sewing_machine,5pb9UcfxwrLcC6kmvYyt5o_12.pth,12,0.4843284487724304,0.8796498775482178,"[0.507526695728302, 0.4801860451698303, 0.43917256593704224]","[0.2855680286884308, 0.2856135964393616, 0.29834726452827454]"
2g9yjy2p,forgotten-apparition-1158,airedale,tow_truck,sewing_machine,5pb9UcfxwrLcC6kmvYyt5o_24.pth,24,1.2294796705245972,0.833698034286499,"[0.507526695728302, 0.4801860451698303, 0.43917256593704224]","[0.2855680286884308, 0.2856135964393616, 0.29834726452827454]"
qonw2dwt,cryptic-vampire-1157,soft-coated_wheaten_terrier,ant,pick,B6AkqyA5UxUr7inszj3VQD_15.pth,15,0.8931287527084351,0.7358276844024658,"[0.5159539580345154, 0.48255103826522827, 0.41330084204673767]","[0.27961355447769165, 0.2727808654308319, 0.28645622730255127]"
qonw2dwt,cryptic-vampire-1157,soft-coated_wheaten_terrier,ant,pick,B6AkqyA5UxUr7inszj3VQD_66.pth,66,0.928066611289978,0.7709750533103943,"[0.5159539580345154, 0.48255103826522827, 0.41330084204673767]","[0.27961355447769165, 0.2727808654308319, 0.28645622730255127]"
otnwgcej,abominable-rift-1156,indigo_bunting,running_shoe,vizsla,hDJ2hTFHJe8Q3F4c56jkw9_17.pth,17,0.28482937812805176,0.9179536700248718,"[0.4894734025001526, 0.47069650888442993, 0.3899422883987427]","[0.25682491064071655, 0.24977029860019684, 0.26788681745529175]"
otnwgcej,abominable-rift-1156,indigo_bunting,running_shoe,vizsla,hDJ2hTFHJe8Q3F4c56jkw9_50.pth,50,7.653326034545898,0.7239382266998291,"[0.4894734025001526, 0.47069650888442993, 0.3899422883987427]","[0.25682491064071655, 0.24977029860019684, 0.26788681745529175]"
fm2qrrtb,shadowed-void-1155,wire-haired_fox_terrier,ant,indigo_bunting,MqBcBfKNR4vxu2Sras4JW7_11.pth,11,0.4089500308036804,0.8810888528823853,"[0.48753637075424194, 0.4931873381137848, 0.38807666301727295]","[0.2530459463596344, 0.23869019746780396, 0.260297954082489]"
fm2qrrtb,shadowed-void-1155,wire-haired_fox_terrier,ant,indigo_bunting,MqBcBfKNR4vxu2Sras4JW7_48.pth,48,0.3576902151107788,0.9097421169281006,"[0.48753637075424194, 0.4931873381137848, 0.38807666301727295]","[0.2530459463596344, 0.23869019746780396, 0.260297954082489]"
ys41522x,obscure-scarecrow-1154,schooner,mixing_bowl,vizsla,4aDxBFkc4qtLwkjnYsADzW_17.pth,17,0.45192861557006836,0.8968334794044495,"[0.5154575705528259, 0.4911121129989624, 0.4450606107711792]","[0.25832295417785645, 0.2560359835624695, 0.28193214535713196]"
ys41522x,obscure-scarecrow-1154,schooner,mixing_bowl,vizsla,4aDxBFkc4qtLwkjnYsADzW_35.pth,35,0.3901898562908172,0.925434112548828,"[0.5154575705528259, 0.4911121129989624, 0.4450606107711792]","[0.25832295417785645, 0.2560359835624695, 0.28193214535713196]"
6og9olzo,vacant-abyss-1153,red_wolf,airedale,angora,fhPDDsUyfJ6AYwtDwEWcSD_12.pth,12,0.8115293383598328,0.7363112568855286,"[0.47398343682289124, 0.44776496291160583, 0.3774583041667938]","[0.25283536314964294, 0.24422986805438995, 0.25010111927986145]"
6og9olzo,vacant-abyss-1153,red_wolf,airedale,angora,fhPDDsUyfJ6AYwtDwEWcSD_42.pth,42,0.948164999485016,0.7161383032798767,"[0.47398343682289124, 0.44776496291160583, 0.3774583041667938]","[0.25283536314964294, 0.24422986805438995, 0.25010111927986145]"
5a1fsafr,obscure-vampire-1152,barn_spider,planetarium,breakwater,6GuNTk3ZGN76raPSvhmyAc_9.pth,9,0.8269854784011841,0.7722602486610413,"[0.456868976354599, 0.47703686356544495, 0.4777834713459015]","[0.2638345956802368, 0.2625107765197754, 0.29226547479629517]"
5a1fsafr,obscure-vampire-1152,barn_spider,planetarium,breakwater,6GuNTk3ZGN76raPSvhmyAc_73.pth,73,0.7422156929969788,0.8304794430732727,"[0.456868976354599, 0.47703686356544495, 0.4777834713459015]","[0.2638345956802368, 0.2625107765197754, 0.29226547479629517]"
5p9kb59a,pale-pumpkin-1151,planetarium,police_van,maillot,gzQj8aw7SsdLTAcr8NKHcD_11.pth,11,0.4763624668121338,0.861261248588562,"[0.4722699522972107, 0.47418951988220215, 0.4689633548259735]","[0.28644007444381714, 0.2800252437591553, 0.29673242568969727]"
5p9kb59a,pale-pumpkin-1151,planetarium,police_van,maillot,gzQj8aw7SsdLTAcr8NKHcD_70.pth,70,0.4404404461383819,0.8756756782531738,"[0.4722699522972107, 0.47418951988220215, 0.4689633548259735]","[0.28644007444381714, 0.2800252437591553, 0.29673242568969727]"
j9q6mhyk,abominable-spirit-1150,tow_truck,crash_helmet,angora,ckcvGPRvJPE5vJA3Gh4poB_14.pth,14,0.48597365617752075,0.8653061389923096,"[0.486661434173584, 0.46555590629577637, 0.44308289885520935]","[0.29226770997047424, 0.28890925645828247, 0.29954227805137634]"
j9q6mhyk,abominable-spirit-1150,tow_truck,crash_helmet,angora,ckcvGPRvJPE5vJA3Gh4poB_78.pth,78,0.7034363746643066,0.8612244725227356,"[0.486661434173584, 0.46555590629577637, 0.44308289885520935]","[0.29226770997047424, 0.28890925645828247, 0.29954227805137634]"
v2fvcoai,grim-candle-1149,schooner,wire-haired_fox_terrier,dock,mBhkRxKsHnBYRPSr7Hbxsp_17.pth,17,0.7023066878318787,0.8307985067367554,"[0.4963536858558655, 0.5214678645133972, 0.5368044376373291]","[0.2602488398551941, 0.25503286719322205, 0.27576693892478943]"
v2fvcoai,grim-candle-1149,schooner,wire-haired_fox_terrier,dock,mBhkRxKsHnBYRPSr7Hbxsp_57.pth,57,0.738878071308136,0.8365018963813782,"[0.4963536858558655, 0.5214678645133972, 0.5368044376373291]","[0.2602488398551941, 0.25503286719322205, 0.27576693892478943]"
i3t9ymys,intangible-shadow-1148,sewing_machine,trombone,airedale,YXjpantVgur78w6gQ8Ya2B_12.pth,12,0.9176809787750244,0.7280966639518738,"[0.5185929536819458, 0.4810572564601898, 0.4379679560661316]","[0.3085063397884369, 0.3091598451137543, 0.3185017704963684]"
i3t9ymys,intangible-shadow-1148,sewing_machine,trombone,airedale,YXjpantVgur78w6gQ8Ya2B_38.pth,38,0.7950751781463623,0.7562940716743469,"[0.5185929536819458, 0.4810572564601898, 0.4379679560661316]","[0.3085063397884369, 0.3091598451137543, 0.3185017704963684]"
0o3o4luc,hollow-spider-1147,planetarium,american_lobster,barometer,Gn2eo8JNUQ8nW9yhWpyqXx_9.pth,9,3.048823118209839,0.6066115498542786,"[0.5191319584846497, 0.4654940366744995, 0.4359939992427826]","[0.28552067279815674, 0.28746822476387024, 0.30855506658554077]"
0o3o4luc,hollow-spider-1147,planetarium,american_lobster,barometer,Gn2eo8JNUQ8nW9yhWpyqXx_53.pth,53,0.6317510604858398,0.8694214820861816,"[0.5191319584846497, 0.4654940366744995, 0.4359939992427826]","[0.28552067279815674, 0.28746822476387024, 0.30855506658554077]"
9eimjlnn,twisted-warlock-1146,breakwater,angora,american_lobster,AhxyZLpDPXN2LgVVfGqM6s_9.pth,9,0.20469747483730316,0.9247159361839294,"[0.5015265941619873, 0.4602333903312683, 0.4400750994682312]","[0.2644272446632385, 0.26337555050849915, 0.2859160006046295]"
9eimjlnn,twisted-warlock-1146,breakwater,angora,american_lobster,AhxyZLpDPXN2LgVVfGqM6s_57.pth,57,0.3898960947990417,0.9176136255264282,"[0.5015265941619873, 0.4602333903312683, 0.4400750994682312]","[0.2644272446632385, 0.26337555050849915, 0.2859160006046295]"
r6j9ylto,twisted-treat-1145,strawberry,red_wolf,airedale,eqtz4uyzM2W5fVkywXGds7_17.pth,17,0.9237264394760132,0.7711313366889954,"[0.5248845815658569, 0.42977175116539, 0.35273346304893494]","[0.26987195014953613, 0.2693437337875366, 0.2699684500694275]"
r6j9ylto,twisted-treat-1145,strawberry,red_wolf,airedale,eqtz4uyzM2W5fVkywXGds7_60.pth,60,0.7010842561721802,0.8231469392776489,"[0.5248845815658569, 0.42977175116539, 0.35273346304893494]","[0.26987195014953613, 0.2693437337875366, 0.2699684500694275]"
3z7aocfo,murky-seance-1144,otterhound,missile,vizsla,NtcyLyyLdAqGm5XLreFTRB_11.pth,11,1.13624107837677,0.7898734211921692,"[0.49414849281311035, 0.47266098856925964, 0.4173940122127533]","[0.25413358211517334, 0.24683761596679688, 0.2712096869945526]"
3z7aocfo,murky-seance-1144,otterhound,missile,vizsla,NtcyLyyLdAqGm5XLreFTRB_51.pth,51,0.5873901844024658,0.8481012582778931,"[0.49414849281311035, 0.47266098856925964, 0.4173940122127533]","[0.25413358211517334, 0.24683761596679688, 0.2712096869945526]"
gf2e9gus,spooky-candy-1143,trombone,vizsla,indigo_bunting,jtHSyAnUaKLpEZFbSyQWJi_17.pth,17,0.41690248250961304,0.8746465444564819,"[0.4890808165073395, 0.4675137996673584, 0.38804611563682556]","[0.27679356932640076, 0.27002254128456116, 0.28373029828071594]"
gf2e9gus,spooky-candy-1143,trombone,vizsla,indigo_bunting,jtHSyAnUaKLpEZFbSyQWJi_51.pth,51,0.383113831281662,0.8925542235374451,"[0.4890808165073395, 0.4675137996673584, 0.38804611563682556]","[0.27679356932640076, 0.27002254128456116, 0.28373029828071594]"
pv336kba,howling-memory-1142,bolete,tow_truck,soft-coated_wheaten_terrier,Yu9Gmhri3pmiR3aMqGKQrQ_15.pth,15,0.4363773465156555,0.8612059354782104,"[0.46453434228897095, 0.4390975534915924, 0.37986838817596436]","[0.263622522354126, 0.25598081946372986, 0.26605239510536194]"
pv336kba,howling-memory-1142,bolete,tow_truck,soft-coated_wheaten_terrier,Yu9Gmhri3pmiR3aMqGKQrQ_80.pth,80,0.4117571115493774,0.8794084191322327,"[0.46453434228897095, 0.4390975534915924, 0.37986838817596436]","[0.263622522354126, 0.25598081946372986, 0.26605239510536194]"
2aqhzmk2,devilish-pumpkin-1141,american_lobster,carpenter's_kit,cellular_telephone,F9JWeacPyYrXJFc5AWikxK_15.pth,15,0.9162493348121643,0.738950252532959,"[0.5386902093887329, 0.4764898419380188, 0.4481102526187897]","[0.3144870400428772, 0.315745085477829, 0.3268798887729645]"
2aqhzmk2,devilish-pumpkin-1141,american_lobster,carpenter's_kit,cellular_telephone,F9JWeacPyYrXJFc5AWikxK_33.pth,33,1.51308012008667,0.7140883803367615,"[0.5386902093887329, 0.4764898419380188, 0.4481102526187897]","[0.3144870400428772, 0.315745085477829, 0.3268798887729645]"
hhrkdo2a,pale-warlock-1140,otterhound,angora,paddle,mWA9NSt3oNbQAuYTkiTXVU_9.pth,9,0.6438062191009521,0.8268876671791077,"[0.491208016872406, 0.4763752520084381, 0.44211000204086304]","[0.2694646120071411, 0.26161497831344604, 0.2773338556289673]"
hhrkdo2a,pale-warlock-1140,otterhound,angora,paddle,mWA9NSt3oNbQAuYTkiTXVU_54.pth,54,0.5429988503456116,0.8581951856613159,"[0.491208016872406, 0.4763752520084381, 0.44211000204086304]","[0.2694646120071411, 0.26161497831344604, 0.2773338556289673]"
czow9cqy,possessed-labyrinth-1139,red_wolf,missile,mixing_bowl,kQNN9BKxw27icC5FQgDoYL_13.pth,13,0.5169346928596497,0.8310810923576355,"[0.49788379669189453, 0.48507997393608093, 0.4414688050746918]","[0.27117714285850525, 0.26513826847076416, 0.2850364148616791]"
czow9cqy,possessed-labyrinth-1139,red_wolf,missile,mixing_bowl,kQNN9BKxw27icC5FQgDoYL_49.pth,49,1.0879316329956057,0.8027027249336243,"[0.49788379669189453, 0.48507997393608093, 0.4414688050746918]","[0.27117714285850525, 0.26513826847076416, 0.2850364148616791]"
d11ee6sh,enchanted-newt-1138,breakwater,police_van,pug,mLCMxTPh7bxSrbF7exvVkN_15.pth,15,0.4130571186542511,0.9081224799156189,"[0.46436941623687744, 0.4678928256034851, 0.4558696448802948]","[0.2668681740760803, 0.26367050409317017, 0.28046610951423645]"
