rec_mse,agreement,original_accuracy,reconstructed_accuracy,cos_sim,avg_correlation,best_agreement,best_rec_accuracy
tensor(186.6411),0.31488801054018445,0.9486166007905138,0.3386034255599473,-0.3981015384197235,0.007981951348483562,0.34782608695652173,0.3386034255599473
tensor(237.1931),0.3769045709703288,0.9623095429029671,0.3744987971130714,0.11733219772577286,-0.05610712990164757,0.3769045709703288,0.3744987971130714
tensor(432.5935),0.33666666666666667,0.9544444444444444,0.32555555555555554,0.04163358360528946,0.2198438197374344,0.3933333333333333,0.40555555555555556
tensor(212.7527),0.34928848641655885,0.9767141009055628,0.34411384217335056,-0.056674424558877945,-0.1680668145418167,0.34928848641655885,0.34411384217335056
tensor(90.6964),0.4714828897338403,0.9600760456273765,0.47338403041825095,0.4510965347290039,0.13649795949459076,0.4714828897338403,0.47338403041825095
tensor(50.8300),0.19863013698630136,0.8986301369863013,0.1958904109589041,-0.3622891306877136,-0.11194384098052979,0.4136986301369863,0.4397260273972603
tensor(70.1376),0.35522388059701493,0.9701492537313433,0.3582089552238806,0.23650522530078888,0.34271755814552307,0.3776119402985075,0.3716417910447761
tensor(462.3910),0.3924812030075188,0.8090225563909774,0.2721804511278195,0.12962421774864197,0.04767191410064697,0.3924812030075188,0.36541353383458647
tensor(350.9701),0.28177458033573144,0.8968824940047961,0.2805755395683453,0.01984018087387085,-0.16636885702610016,0.36930455635491605,0.4148681055155875
tensor(584.8556),0.360056258790436,0.9353023909985936,0.3291139240506329,-0.27851927280426025,0.29123973846435547,0.450070323488045,0.43741209563994377
tensor(314.6515),0.5041617122473246,0.9179548156956004,0.4827586206896552,0.23431405425071716,0.018463879823684692,0.5041617122473246,0.4827586206896552
tensor(94.7096),0.526564344746163,0.9728453364817001,0.5182998819362455,-0.10939832776784897,0.1253058910369873,0.526564344746163,0.5182998819362455
tensor(527.3367),0.25039619651347067,0.9809825673534073,0.24247226624405704,-0.2204769253730774,0.1199011281132698,0.393026941362916,0.3977812995245642
tensor(42.5830),0.2566897918731417,0.9554013875123885,0.2616451932606541,-0.21574798226356506,0.007067702244967222,0.4182358771060456,0.4132804757185332
tensor(353.9705),0.40238611713665945,0.8101952277657267,0.5108459869848156,-0.43478554487228394,-0.13882096111774445,0.517353579175705,0.5108459869848156
tensor(61.4218),0.35751295336787564,0.9412780656303973,0.38860103626943004,-0.015025578439235687,0.09715650230646133,0.47668393782383417,0.44905008635578586
tensor(50.8864),0.14790996784565916,0.9453376205787781,0.14469453376205788,-0.3522754907608032,0.03337297961115837,0.4453376205787781,0.432475884244373
tensor(99.5773),0.3407079646017699,0.9749262536873157,0.35103244837758113,-0.4067283272743225,0.08940286189317703,0.40707964601769914,0.40117994100294985
tensor(593.9119),0.19652173913043477,0.9860869565217392,0.18782608695652173,-0.1918928623199463,0.055722445249557495,0.5234782608695652,0.528695652173913
tensor(50.9452),0.11657142857142858,0.9714285714285714,0.12914285714285714,-0.394509881734848,0.17901986837387085,0.5645714285714286,0.5531428571428572
tensor(327.0240),0.00205761316872428,0.9423868312757202,0.0,0.0817795917391777,-0.2518444061279297,0.676954732510288,0.6748971193415638
tensor(44.7557),0.4894810659186536,0.8274894810659187,0.3338008415147265,0.5262929201126099,0.22747141122817993,0.4894810659186536,0.3744740532959327
tensor(181.8383),0.5030674846625767,0.9631901840490797,0.5245398773006135,0.041727710515260696,-0.07480788975954056,0.5030674846625767,0.5245398773006135
tensor(336.5768),0.4662756598240469,0.7478005865102639,0.32697947214076245,-0.2925501763820648,-0.05353936553001404,0.4662756598240469,0.46480938416422285
tensor(290.0886),0.28894806924101196,0.9826897470039947,0.28761651131824234,0.4177834391593933,-0.1309340000152588,0.36617842876165113,0.3648468708388815
tensor(99.7103),0.47173489278752434,0.9200779727095516,0.46393762183235865,0.3644445240497589,0.04567687585949898,0.47173489278752434,0.46393762183235865
tensor(41.2228),0.3559077809798271,0.9438040345821326,0.33285302593659943,0.16801756620407104,-0.10828342288732529,0.36023054755043227,0.3746397694524496
tensor(164.7259),0.2300578034682081,0.96878612716763,0.22196531791907514,0.04281594231724739,0.0319419763982296,0.5202312138728323,0.5317919075144508
tensor(80.1801),0.39800995024875624,0.9577114427860697,0.38308457711442784,-0.25051507353782654,0.1057237982749939,0.39800995024875624,0.38308457711442784
tensor(252.1864),0.2714440825190011,0.9826275787187839,0.2736156351791531,-0.06993436813354492,0.11019892245531082,0.4788273615635179,0.4744842562432139
tensor(99.5977),0.14469914040114612,0.9756446991404012,0.1518624641833811,-0.31119176745414734,-0.02097979187965393,0.4899713467048711,0.4799426934097421
tensor(379.1770),0.42083333333333334,0.9083333333333333,0.475,-0.36349695920944214,0.04799053072929382,0.42083333333333334,0.475
tensor(115.1144),0.18546637744034708,0.5075921908893709,0.26572668112798264,-0.4103415012359619,-0.03805018588900566,0.7744034707158352,0.44468546637744033
tensor(42.2666),0.3363754889178618,0.9608865710560626,0.34810951760104303,-0.2236545979976654,-0.10316997766494751,0.3728813559322034,0.35853976531942633
tensor(195.9666),0.15683646112600536,0.5227882037533512,0.29892761394101874,-0.05178559944033623,0.06632155925035477,0.8351206434316354,0.3605898123324397
tensor(47.1013),0.46534653465346537,0.9683168316831683,0.46732673267326735,-0.0867191031575203,-0.20037893950939178,0.46534653465346537,0.46732673267326735
tensor(59.0805),0.24814422057264052,0.968186638388123,0.24284199363732767,0.24053677916526794,0.0011440640082582831,0.4188759278897137,0.4188759278897137
tensor(300.7297),0.1520979020979021,0.9737762237762237,0.15734265734265734,-0.5466552972793579,-0.3292669355869293,0.5314685314685315,0.5402097902097902
tensor(87.1577),0.3191823899371069,0.9654088050314465,0.31761006289308175,0.10197032243013382,-0.003513048170134425,0.3946540880503145,0.38522012578616355
tensor(54.6017),0.36573511543134873,0.9756986634264885,0.3645200486026732,0.08026446402072906,0.3441832959651947,0.36573511543134873,0.3645200486026732
tensor(351.9923),0.45,0.8670731707317073,0.3926829268292683,0.17658478021621704,-0.03069230727851391,0.45,0.3926829268292683
tensor(171.8634),0.18488745980707397,0.9694533762057878,0.18488745980707397,-0.11797179281711578,0.13333259522914886,0.4180064308681672,0.41479099678456594
tensor(286.7297),0.2989449003516999,0.9648300117233294,0.305978898007034,-0.5429580211639404,0.12790127098560333,0.3798358733880422,0.38569753810082064
tensor(145.1682),0.008264462809917356,0.9462809917355371,0.0,-0.03400437533855438,-0.016019552946090698,0.5,0.5289256198347108
tensor(155.2876),0.4117647058823529,0.8955882352941177,0.35,0.27548709511756897,-0.015782207250595093,0.4117647058823529,0.36764705882352944
tensor(129.1594),0.2839506172839506,0.8249158249158249,0.2727272727272727,0.18341097235679626,-0.02477358840405941,0.43209876543209874,0.44668911335578004
tensor(232.5121),0.3130044843049327,0.915695067264574,0.3524663677130045,-0.23569642007350922,0.22720690071582794,0.4556053811659193,0.40896860986547084
tensor(200.2938),0.22894424673784106,0.8113879003558719,0.3867141162514828,-0.3983844220638275,-0.01953655481338501,0.3867141162514828,0.3867141162514828
tensor(100.3303),0.4755927475592748,0.9553695955369595,0.48675034867503486,0.157587930560112,-0.01808135211467743,0.4755927475592748,0.48675034867503486
tensor(233.7323),0.3395604395604396,0.9428571428571428,0.33296703296703295,0.024407358840107918,-0.04167421534657478,0.3945054945054945,0.3978021978021978
tensor(39.2656),0.3259860788863109,0.9756380510440835,0.3259860788863109,-0.0035714914556592703,-0.24727998673915863,0.3805104408352668,0.38167053364269143
tensor(119.2220),0.28194993412384717,0.9156785243741765,0.31620553359683795,-0.3548238277435303,0.0037596162874251604,0.4044795783926219,0.3465085638998682
tensor(53.9008),0.45841584158415843,0.9673267326732673,0.4514851485148515,-0.043954867869615555,-0.22262774407863617,0.45841584158415843,0.4514851485148515
tensor(51.5310),0.3481781376518219,0.9527665317139001,0.3603238866396761,-0.14110992848873138,-0.18013674020767212,0.3508771929824561,0.3603238866396761
tensor(191.9251),0.31234567901234567,0.9555555555555556,0.3012345679012346,0.3568445146083832,-0.051518380641937256,0.4049382716049383,0.4308641975308642
tensor(434.3109),0.10301109350237718,0.8399366085578447,0.23771790808240886,-0.5043679475784302,0.16118746995925903,0.5356576862123613,0.38351822503961963
tensor(246.8054),0.27261462205700127,0.952912019826518,0.27261462205700127,0.12177270650863647,-0.07583519071340561,0.4399008674101611,0.42131350681536556
tensor(259.4293),0.06481481481481481,0.6944444444444444,0.32936507936507936,-0.30258727073669434,-0.11420440673828125,0.5767195767195767,0.4351851851851852
tensor(103.0407),0.36338028169014086,0.9591549295774648,0.36056338028169016,-0.22651104629039764,0.12009850889444351,0.36338028169014086,0.36056338028169016
tensor(72.4257),0.33155792276964047,0.9800266311584553,0.33288948069241014,-0.3254052698612213,-0.014616887085139751,0.3781624500665779,0.3794940079893475
tensor(88.8388),0.2684049079754601,0.9340490797546013,0.28680981595092025,-0.4738868176937103,0.10399576276540756,0.4187116564417178,0.401840490797546
tensor(217.4136),0.2507418397626113,0.9747774480712166,0.2626112759643917,0.10085449367761612,-0.1465216428041458,0.4836795252225519,0.4658753709198813
tensor(150.4850),0.13705583756345177,0.9678510998307953,0.1353637901861252,-0.5296280980110168,0.0801326334476471,0.45685279187817257,0.45685279187817257
tensor(95.1867),0.3516320474777448,0.9643916913946587,0.3516320474777448,-0.24698491394519806,0.14387312531471252,0.37537091988130566,0.37833827893175076
tensor(274.5078),0.2891566265060241,0.9417670682730924,0.3092369477911647,-0.3719627559185028,0.22250063717365265,0.5261044176706827,0.4859437751004016
tensor(51.0821),0.32392273402674593,0.8677563150074294,0.3803863298662704,-0.3012025058269501,-0.15496104955673218,0.4487369985141159,0.3803863298662704
tensor(146.3238),0.4379474940334129,0.8937947494033412,0.4116945107398568,-0.21883444488048553,-0.03492509201169014,0.4379474940334129,0.4116945107398568
tensor(159.0703),0.254071661237785,0.9370249728555917,0.2888165038002172,-0.2140289694070816,-0.014364984817802906,0.49185667752442996,0.44516829533116176
tensor(321.7969),0.34532374100719426,0.9597122302158273,0.3510791366906475,-0.04395071044564247,0.11521414667367935,0.3496402877697842,0.3510791366906475
tensor(31.2576),0.3437849944008959,0.9563269876819709,0.3493840985442329,0.2054317444562912,0.19573533535003662,0.4748040313549832,0.47032474804031354
tensor(126.0568),0.21256038647342995,0.9758454106280193,0.20652173913043478,0.022515567019581795,0.06334168463945389,0.4867149758454106,0.49516908212560384
tensor(80.7548),0.29890643985419196,0.959902794653706,0.28797083839611176,-0.2407180219888687,-0.12724252045154572,0.3669501822600243,0.36330498177399756
tensor(108.2662),0.14481185860889395,0.9475484606613455,0.1573546180159635,0.2385491579771042,-0.08506014943122864,0.48004561003420754,0.4652223489167617
tensor(46.2481),0.3613348676639816,0.952819332566168,0.3567318757192175,0.1952819526195526,0.1491864174604416,0.3613348676639816,0.3567318757192175
tensor(38.1721),0.26715945089757126,0.9640971488912354,0.26610348468849,0.11486426740884781,-0.21187593042850494,0.5079197465681098,0.5015839493136219
tensor(43.9514),0.367816091954023,0.967816091954023,0.3689655172413793,0.0259074904024601,-0.08612606674432755,0.38850574712643676,0.39195402298850573
tensor(86.7574),0.28669410150891633,0.9766803840877915,0.2880658436213992,-0.3564467430114746,-0.06064552441239357,0.35939643347050754,0.3635116598079561
tensor(41.7416),0.3803191489361702,0.9627659574468085,0.3816489361702128,-0.20395570993423462,0.09970372170209885,0.42021276595744683,0.4162234042553192
tensor(227.9598),0.3322222222222222,0.9233333333333333,0.3422222222222222,-0.04101914167404175,0.19058184325695038,0.37444444444444447,0.37777777777777777
tensor(78.6137),0.6487889273356401,0.7508650519031141,0.40484429065743943,0.45522111654281616,0.341354101896286,0.6487889273356401,0.458477508650519
