"Name","ID","data.classes","epoch","seed","optimizer_name","training.early_epoch","training.max_epoch","val_accuracy","val_loss","Runtime","End Time"
"woven-silence-850","k34yrlp7","[""planetarium"",""acoustic_guitar"",""limpkin""]","41","2811","Adam","15","42","0.895960807800293","0.5144405961036682","241","2025-10-29T05:54:43.000Z"
"ancient-flower-849","69td3tkd","[""mashed_potato"",""mixing_bowl"",""vacuum""]","64","659","Adam","11","65","0.8149465918540955","0.8703159093856812","361","2025-10-29T05:50:41.000Z"
"fluent-brook-848","6l08n2vu","[""paddle"",""maillot"",""mud_turtle""]","50","9986","Adam","15","51","0.7719298005104065","1.6365121603012085","220","2025-10-29T05:44:38.000Z"
"chocolate-oath-847","ieaefkgv","[""ant"",""Siamese_cat"",""vacuum""]","62","2511","SGD","16","63","0.8590909242630005","0.4758710563182831","280","2025-10-29T05:40:57.000Z"
"fresh-planet-846","ifaxlqdp","[""black_and_gold_garden_spider"",""mixing_bowl"",""crash_helmet""]","53","4282","SGD","12","54","0.8502747416496277","0.6174662113189697","262","2025-10-29T05:36:16.000Z"
"lilac-elevator-845","eymlhazw","[""necklace"",""breakwater"",""trombone""]","26","9339","SGD","11","27","0.8515081405639648","0.4805646538734436","166","2025-10-29T05:31:53.000Z"
"whole-shadow-844","18cn2s7r","[""barn_spider"",""pug"",""breakwater""]","64","8800","Adam","14","65","0.8848484754562378","0.8576680421829224","302","2025-10-29T05:29:06.000Z"
"smooth-disco-843","1h73fmoq","[""breakwater"",""running_shoe"",""mixing_bowl""]","51","6287","SGD","14","52","0.831932783126831","0.646938681602478","280","2025-10-29T05:24:03.000Z"
"bumbling-dust-842","sdpb37qb","[""pajama"",""schooner"",""black_and_gold_garden_spider""]","70","1930","Adam","16","71","0.9035971164703368","0.6612446308135986","345","2025-10-29T05:19:22.000Z"
"dazzling-sky-841","bpy4hbal","[""indigo_bunting"",""mashed_potato"",""vizsla""]","42","7125","SGD","10","43","0.9138461351394652","0.3487861156463623","269","2025-10-29T05:13:36.000Z"
"eager-wood-840","x1nkz12k","[""Siamese_cat"",""indigo_bunting"",""strawberry""]","46","197","SGD","18","47","0.9783783555030824","0.0884569063782692","191","2025-10-29T05:09:06.000Z"
"bright-durian-839","ca31ekcs","[""dock"",""schooner"",""sea_slug""]","35","7777","SGD","14","36","0.8943089246749878","0.4084717929363251","209","2025-10-29T05:05:54.000Z"
"lively-blaze-838","y0w8bzkc","[""pick"",""barn_spider"",""borzoi""]","67","2931","SGD","15","68","0.7983471155166626","0.7000555396080017","281","2025-10-29T05:02:24.000Z"
"classic-plasma-837","9snhdl7e","[""schooner"",""red_wolf"",""chambered_nautilus""]","41","8004","SGD","10","42","0.800000011920929","1.0099338293075562","192","2025-10-29T04:57:42.000Z"
"wild-planet-836","9xooxmgs","[""carpenter's_kit"",""cellular_telephone"",""bolete""]","52","2327","SGD","11","53","0.8223602771759033","0.712770402431488","281","2025-10-29T04:54:28.000Z"
"different-capybara-835","xgf8ngln","[""breakwater"",""Ibizan_hound"",""Angora""]","44","4389","Adam","12","45","1","0","124","2025-10-29T04:49:46.000Z"
"revived-energy-834","h8j6nzbf","[""paddle"",""indigo_bunting"",""tow_truck""]","42","8958","Adam","15","43","0.7180500626564026","2.0039334297180176","232","2025-10-29T04:47:41.000Z"
"electric-fire-833","svpg3zz0","[""soft-coated_wheaten_terrier"",""barn_spider"",""limpkin""]","42","4218","Adam","15","43","0.7635327577590942","1.8194116353988647","219","2025-10-29T04:43:48.000Z"
"fanciful-frost-832","i8f11p9k","[""cellular_telephone"",""borzoi"",""Appenzeller""]","50","202","SGD","11","51","0.8339921236038208","0.7315788269042969","191","2025-10-29T04:40:08.000Z"
"curious-water-831","htwu95p5","[""wire-haired_fox_terrier"",""chimpanzee"",""vizsla""]","41","3510","SGD","19","42","0.7531428337097168","1.6165757179260254","239","2025-10-29T04:36:56.000Z"
"glorious-hill-830","c8aka8l2","[""missile"",""Siamese_cat"",""barn_spider""]","63","4931","SGD","19","64","0.8600509166717529","0.4688379764556885","202","2025-10-29T04:32:56.000Z"
