Name,ID,data.classes,seed,optimizer_name,epoch,training.early_epoch,training.max_epoch,val_accuracy,val_loss,calculated_mean,calculated_std,artifacts
mystical-apparition-1243,oby9s2hv,"[missile,ibizan_hound,trombone]",2731,SGD,65,10,66,0.8141263723373413,0.7002233862876892,"[0.4954019784927368, 0.4769243896007538, 0.44864898920059204]","[0.30292508006095886, 0.2994581460952759, 0.3160877823829651]","['5vLswfJjve3JbjNebQCVex_9.pth', '5vLswfJjve3JbjNebQCVex_66.pth']"
wavering-pumpkin-1242,aj2j41zf,"[crash_helmet,soft-coated_wheaten_terrier,paddle]",8996,SGD,48,18,49,0.806609570980072,0.8182584643363953,"[0.49437829852104187, 0.476289302110672, 0.4430462419986725]","[0.28466036915779114, 0.2765718996524811, 0.288595587015152]","['A7JK94DZpium8iJWxYiXNz_17.pth', 'A7JK94DZpium8iJWxYiXNz_49.pth']"
occult-threshold-1241,z425cpsv,"[carpenter's_kit,barn_spider,lesser_panda]",2454,Adam,54,11,55,0.9157142639160156,0.4038594663143158,"[0.4718121886253357, 0.45210105180740356, 0.3982677757740021]","[0.29059356451034546, 0.2843635082244873, 0.29293060302734375]","['5zUtmyD6sr64SCQDynuZpa_10.pth', '5zUtmyD6sr64SCQDynuZpa_55.pth']"
uncanny-threshold-1240,cxdo16y3,"[barn_spider,pick,pug]",7215,SGD,40,18,41,0.7201257944107056,0.9504821300506592,"[0.49903616309165955, 0.4625554382801056, 0.41896045207977295]","[0.30378758907318115, 0.2956550121307373, 0.3043195605278015]","['GvnXtvQLknkdAeNnFVmpkX_17.pth', 'GvnXtvQLknkdAeNnFVmpkX_41.pth']"
howling-sorcery-1239,6pui80i8,"[crash_helmet,tow_truck,wire-haired_fox_terrier]",3104,Adam,47,13,48,0.8874598145484924,0.6802021265029907,"[0.49192163348197937, 0.47531795501708984, 0.4520719647407532]","[0.29751700162887573, 0.29389530420303345, 0.30470091104507446]","['gGSdGFYGZLNt4qh26LHgsw_12.pth', 'gGSdGFYGZLNt4qh26LHgsw_48.pth']"
distant-sorcery-1238,p50rnwjb,"[missile,pajama,tow_truck]",8392,SGD,52,12,53,0.8317631483078003,0.6832756996154785,"[0.5008761286735535, 0.4834774136543274, 0.4769173562526703]","[0.2789252996444702, 0.2751093804836273, 0.2914036214351654]","['bQXcA2oDxwNCyeiVTvq3aK_11.pth', 'bQXcA2oDxwNCyeiVTvq3aK_53.pth']"
muted-ghost-1237,2h8g77no,"[planetarium,running_shoe,mud_turtle]",6278,Adam,74,12,75,0.8857566714286804,0.5878450870513916,"[0.48122355341911316, 0.4659711718559265, 0.43635818362236023]","[0.2781314253807068, 0.27483054995536804, 0.2938460409641266]","['aPYWHvRkuUXh4qY8N4XEuE_11.pth', 'aPYWHvRkuUXh4qY8N4XEuE_75.pth']"
unsettling-newt-1236,4ersgkl9,"[limpkin,mud_turtle,black_and_gold_garden_spider]",3099,SGD,19,13,20,0.8161647915840149,0.6836003065109253,"[0.4519535005092621, 0.46245014667510986, 0.356461763381958]","[0.23069557547569275, 0.2252780795097351, 0.24304215610027313]","['F2FMtGqTz7G4A9TKi2Z7kH_12.pth', 'F2FMtGqTz7G4A9TKi2Z7kH_20.pth']"
spooky-horseman-1235,alcos03w,"[ant,running_shoe,lesser_panda]",6184,SGD,75,14,76,0.7126789093017578,1.2867436408996582,"[0.4888921082019806, 0.46620526909828186, 0.39348775148391724]","[0.27517807483673096, 0.26981887221336365, 0.2811531722545624]","['6Kq2E4bsWRiHx99oojGE2f_13.pth', '6Kq2E4bsWRiHx99oojGE2f_76.pth']"
distant-memory-1234,t4tf4ltk,"[police_van,running_shoe,acoustic_guitar]",3561,Adam,29,14,30,0.86149001121521,0.5532185435295105,"[0.5113437175750732, 0.47252634167671204, 0.43426385521888733]","[0.31767958402633667, 0.3147064745426178, 0.32540786266326904]","['cMs2Qrqt3NLTpXqVkEr5Kf_13.pth', 'cMs2Qrqt3NLTpXqVkEr5Kf_30.pth']"
crawly-gloom-1233,qqrykego,"[running_shoe,lesser_panda,acoustic_guitar]",5892,SGD,58,15,59,0.8428571224212646,0.6532440185546875,"[0.5047368407249451, 0.464011549949646, 0.40824246406555176]","[0.3097849190235138, 0.30652520060539246, 0.3168458342552185]","['WdVTQHfTPWPEF4jnWqgFcb_14.pth', 'WdVTQHfTPWPEF4jnWqgFcb_59.pth']"
liminal-shroud-1232,jrgvof0c,"[cellular_telephone,otterhound,sewing_machine]",391,Adam,25,14,26,0.7576923370361328,0.9471833109855652,"[0.5247564911842346, 0.492114394903183, 0.4573339521884918]","[0.3103082776069641, 0.31057143211364746, 0.32051658630371094]","['D2KEHtu7utxciWBZ8gjsUx_13.pth', 'D2KEHtu7utxciWBZ8gjsUx_26.pth']"
liminal-fantasy-1231,h2a30blg,"[bolete,chambered_nautilus,borzoi]",6736,Adam,27,19,28,0.900560200214386,0.4126391112804413,"[0.4304870367050171, 0.4064730405807495, 0.34050920605659485]","[0.2760452628135681, 0.2622135281562805, 0.263423889875412]","['CARJ6Hxer5MGJ2rPcnobd3_18.pth', 'CARJ6Hxer5MGJ2rPcnobd3_28.pth']"
ethereal-broomstick-1230,ynx7bpls,"[maillot,mixing_bowl,trombone]",5618,Adam,38,15,39,0.7994579672813416,0.928577721118927,"[0.5459340810775757, 0.505937933921814, 0.47097378969192505]","[0.317379891872406, 0.3184923231601715, 0.32871752977371216]","['7jL5WpXYR2a4Uz9N7tNfD8_14.pth', '7jL5WpXYR2a4Uz9N7tNfD8_39.pth']"
spectral-phantom-1229,fvkg9wkj,"[otterhound,mashed_potato,schooner]",5258,Adam,64,14,65,0.9427083134651184,0.2383719086647033,"[0.533481776714325, 0.513064444065094, 0.46583908796310425]","[0.2619214653968811, 0.2581057548522949, 0.2856704294681549]","['DG5wRWAdnxDEc93tb4v3RF_13.pth', 'DG5wRWAdnxDEc93tb4v3RF_65.pth']"
ghostly-crypt-1228,fcqwnyc7,"[red_wolf,ruddy_turnstone,breakwater]",9687,SGD,41,15,42,0.8908122777938843,0.4190479516983032,"[0.4834911823272705, 0.48752692341804504, 0.4565741717815399]","[0.2341146022081375, 0.23036159574985504, 0.25592711567878723]","['RrsFa56fpXy2RQE7ygioSe_14.pth', 'RrsFa56fpXy2RQE7ygioSe_42.pth']"
scary-newt-1227,feu8ti1d,"[planetarium,red_wolf,sea_slug]",2695,SGD,46,10,47,0.8847059011459351,0.471297413110733,"[0.4364776015281677, 0.41194015741348267, 0.34827274084091187]","[0.2659338116645813, 0.25323617458343506, 0.2625281810760498]","['dxVme7F7UeYJMeraxkUxKw_9.pth', 'dxVme7F7UeYJMeraxkUxKw_47.pth']"
occult-nightmare-1226,ezh1gxdl,"[sewing_machine,pick,running_shoe]",2027,Adam,62,17,63,0.793749988079071,1.3453673124313354,"[0.5333997011184692, 0.4942377507686615, 0.461338073015213]","[0.3080551028251648, 0.31074684858322144, 0.32294827699661255]","['Xd7iSQ3myvabBGeLoQoqGx_16.pth', 'Xd7iSQ3myvabBGeLoQoqGx_63.pth']"
