run_id,run_name,class1,class2,class3,early_epoch,max_epoch,val_loss,weights,downloaded_artifacts,early_epoch_val_loss
0ztb1xdv,glamorous-vortex-87,sealyham_terrier,bouvier_des_flandres,triumphal_arch,15,117,0.0062961941584944,"fKfCeYeqedUYKSkTYNxxBT_14.pth, fKfCeYeqedUYKSkTYNxxBT_117.pth",,0.013291284441947937
hng3i8yp,cosmic-leaf-88,space_shuttle,golf_ball,cradle,18,119,1.2840362787246704,"nwkFXS7PU2wobrGmsHGL9m_17.pth, nwkFXS7PU2wobrGmsHGL9m_119.pth",,0.6285442113876343
cjw88sjp,jolly-capybara-89,french_bulldog,rugby_ball,canoe,18,86,0.4748775064945221,"KUuD9ohjrPioHK2GVXrd4M_17.pth, KUuD9ohjrPioHK2GVXrd4M_86.pth",,0.39617523550987244
cdg4pfls,tough-violet-90,pillow,gorilla,indigo_bunting,19,109,0.2341888099908828,"WSz6oUtSwVx6mH72K5e4aE_18.pth, WSz6oUtSwVx6mH72K5e4aE_109.pth",,0.5243905186653137
6citgdhy,happy-forest-91,police_van,american_chameleon,nematode,21,118,0.1428561508655548,"TGjjMk3E7fBr3Sqn6G9vDJ_20.pth, TGjjMk3E7fBr3Sqn6G9vDJ_118.pth",,0.13913990557193756
5ysulkb4,stoic-voice-92,poncho,lawn_mower,hippopotamus,21,103,0.4728642404079437,"jm3hz83feLUTc7J3uVptmj_20.pth, jm3hz83feLUTc7J3uVptmj_103.pth",,0.48663678765296936
fqg7uua2,confused-wood-93,shovel,sandbar,echidna,18,112,0.4626027345657348,"5x4oEAoF42Sore2HHdusnE_17.pth, 5x4oEAoF42Sore2HHdusnE_112.pth",,0.33698952198028564
ciih7b0i,graceful-resonance-94,library,sports_car,breakwater,21,102,0.4175145328044891,"HYyj5TH8efZL5tJwhjahvJ_20.pth, HYyj5TH8efZL5tJwhjahvJ_102.pth",,0.43180668354034424
h6dox2fb,unique-deluge-95,soap_dispenser,totem_pole,toaster,17,81,1.4968750476837158,"3ABDzszu9AKoPjvL9eB52b_16.pth, 3ABDzszu9AKoPjvL9eB52b_81.pth",,1.7625354528427124
4hqnv9fv,morning-pine-96,mongoose,long-horned_beetle,nematode,20,115,0.5512861013412476,"au7ShYPUAjDQBn6A8rYWtN_19.pth, au7ShYPUAjDQBn6A8rYWtN_115.pth",,0.46461352705955505
