run_id,run_name,creation_time,state,artifacts,_runtime,_step,_timestamp,_wandb,epoch,train_loss,trainer/global_step,val_loss,class1,class2,class3,distance_score,score,seed,early_epoch,max_epoch,store_weight,optimizer,status,val_loss_at_early_epoch
4qxm86rl,stoic-darkness-60,2025-09-09T11:54:20Z,finished,"gZSVQ6EG7SaHUPK7NY3oqa_20:v0, gZSVQ6EG7SaHUPK7NY3oqa_121:v0, run-4qxm86rl-history:v0",382,178,1757419241.6971312,{'runtime': 382},120,0.0015831873752176,2903,0.2279391288757324,sea_slug,Appenzeller,soft-coated_wheaten_terrier,0.1142857142857142,0.0785,7270,21,121,True,Adam,-,0.24902191758155823
7ynabl8h,vivid-aardvark-61,2025-09-09T12:01:14Z,finished,"36VbQgWPBQaRkcwZ78orSk_22:v0, 36VbQgWPBQaRkcwZ78orSk_120:v0, run-7ynabl8h-history:v0",391,181,1757419665.475626,{'runtime': 391},119,0.000991360284388,3119,0.7073783874511719,running_shoe,tow_truck,missile,0.1027777777777777,0.1412,860,23,120,True,SGD,-,1.1139421463012695
kr1ujz2e,serene-butterfly-62,2025-09-09T12:08:18Z,finished,"nzBPssej9F5jYPe9znYrea_21:v0, nzBPssej9F5jYPe9znYrea_86:v0, run-kr1ujz2e-history:v0",284,129,1757419981.969356,{'runtime': 284},85,0.0060123400762677,2235,0.6529563665390015,strawberry,pug,necklace,0.0738095238095238,0.1902,5390,22,86,True,SGD,-,0.6526700854301453
9774b8tp,winter-disco-63,2025-09-09T12:13:32Z,finished,"aZe5zwG3DVffPhvqXr6pu6_15:v0, aZe5zwG3DVffPhvqXr6pu6_101:v0, run-9774b8tp-history:v0",307,140,1757420318.0150168,{'runtime': 307},100,0.0065189860761165,2019,0.6893889904022217,borzoi,planetarium,pajama,0.0816798941798941,0.1033,5191,16,101,True,SGD,-,0.7177769541740417
z8shdukb,worthy-dew-64,2025-09-09T12:19:18Z,finished,"aQYEPkwmqJt5YKTmURNwbs_14:v0, aQYEPkwmqJt5YKTmURNwbs_92:v0, run-z8shdukb-history:v0",380,159,1757420737.318238,{'runtime': 380},91,0.0022525968961417,3403,1.958626747131348,cellular_telephone,sewing_machine,vizsla,0.0737745098039215,0.083,5734,15,92,True,Adam,-,1.3316121101379395
h24a52xg,silvery-sunset-65,2025-09-09T12:26:01Z,finished,"4HVkPxToEL33oSNmJePKUS_20:v0, 4HVkPxToEL33oSNmJePKUS_113:v0, run-h24a52xg-history:v0",322,141,1757421082.9662218,{'runtime': 322},112,0.0009300158708356,1468,2.0613489151000977,barn_spider,ruddy_turnstone,Airedale,0.0747474747474747,0.0832,6265,21,113,True,Adam,-,1.7140027284622192
zxe9cxvv,stellar-voice-66,2025-09-09T12:31:52Z,finished,"G6vxneeP2gMYjXWnhEC5pg_20:v0, G6vxneeP2gMYjXWnhEC5pg_125:v0, run-zxe9cxvv-history:v0",392,181,1757421504.4152937,{'runtime': 392},124,0.0013606471475213,2874,1.750766396522522,otterhound,chimpanzee,ant,0.0803030303030303,0.0984,466,21,125,True,SGD,-,1.3317484855651855
87kpfjp8,wild-leaf-67,2025-09-09T12:38:50Z,finished,"ZdR4pUSjRxjczqgEitCQKH_21:v0, ZdR4pUSjRxjczqgEitCQKH_113:v0, run-87kpfjp8-history:v0",332,143,1757421860.936051,{'runtime': 332},112,0.0008306872332468,1581,0.2577460706233978,canoe,barometer,American_lobster,0.0661549707602339,0.0902,4426,22,113,True,Adam,-,0.16023661196231842
jqxs72e5,toasty-sky-68,2025-09-09T12:44:42Z,finished,"H3Yg8fBJjDigtr5Y3JanNb_18:v0, H3Yg8fBJjDigtr5Y3JanNb_100:v0, run-jqxs72e5-history:v0",266,129,1757422148.1148846,{'runtime': 266},99,0.0191584657877683,1499,0.188417911529541,red_wolf,pick,Ibizan_hound,0.0803144224196855,0.1948,5578,19,100,True,SGD,-,0.2507818043231964
szj4msba,clear-dragon-69,2025-09-09T12:49:44Z,finished,"nYdfNnbBJ3X7fMZrpf3BfR_16:v0, nYdfNnbBJ3X7fMZrpf3BfR_94:v0, run-szj4msba-history:v0",321,143,1757422504.728236,{'runtime': 321},93,0.0010371778625994,2537,1.648184895515442,mashed_potato,vacuum,breakwater,0.0666666666666666,0.0673,8322,17,94,True,SGD,-,0.4052915573120117
b2mqkh26,warm-planet-70,2025-09-09T12:55:36Z,finished,"aiqzb6wnC2HbnAoy7chNHL_21:v0, aiqzb6wnC2HbnAoy7chNHL_109:v0, run-b2mqkh26-history:v0",399,166,1757422933.8279605,{'runtime': 399},108,8.061762491706759e-05,2942,0.6471464037895203,sewing_machine,limpkin,chambered_nautilus,0.0749458874458874,0.1068,1685,22,109,True,Adam,-,1.696638584136963
at5v8qrp,robust-gorge-71,2025-09-09T13:02:43Z,finished,"K79fdmtEY7WMHCTFsGPUr5_19:v0, K79fdmtEY7WMHCTFsGPUr5_81:v0, run-at5v8qrp-history:v0",249,112,1757423211.47831,{'runtime': 249},80,0.0044994931668043,1619,0.1449181884527206,mud_turtle,black_and_gold_garden_spider,police_van,0.0608262108262108,0.2781,769,20,81,True,SGD,-,0.20457111299037933
88xvwasc,hardy-puddle-72,2025-09-09T13:07:23Z,finished,"2V2fGGLGpKqsmuAujYRpre_16:v0, 2V2fGGLGpKqsmuAujYRpre_108:v0, run-88xvwasc-history:v0",368,163,1757423611.158502,{'runtime': 368},107,0.025322888046503,2807,0.5994749069213867,mixing_bowl,carpenter's_kit,lesser_panda,0.0762527233115468,0.1383,6949,17,108,True,SGD,-,0.6869727969169617
