Original_Accuracy,Reconstructed_Accuracy_Final,Best_Reconstructed_Accuracy_from_Scan
0.9499341238471674,0.3069828722002635,0.36231884057971014
0.9655172413793104,0.34161988773055335,0.38572574178027264
0.96,0.33555555555555555,0.35888888888888887
0.9702457956015524,0.36869340232858994,0.36869340232858994
0.9600760456273765,0.4828897338403042,0.4828897338403042
0.873972602739726,0.19041095890410958,0.4712328767123288
0.9776119402985075,0.3746268656716418,0.3746268656716418
0.8030075187969925,0.2721804511278195,0.3849624060150376
0.9100719424460432,0.30935251798561153,0.38968824940047964
0.9409282700421941,0.3150492264416315,0.3952180028129395
0.9120095124851367,0.49108204518430437,0.49108204518430437
0.974025974025974,0.5737898465171193,0.5737898465171193
0.9730586370839936,0.22820919175911253,0.38827258320126784
0.9682854311199207,0.26560951437066405,0.4093161546085233
0.8373101952277657,0.49349240780911063,0.49349240780911063
0.9447322970639033,0.3644214162348877,0.4369602763385147
0.9437299035369775,0.15594855305466238,0.43729903536977494
0.9616519174041298,0.36430678466076694,0.36430678466076694
0.9843478260869565,0.1826086956521739,0.5147826086956522
0.9657142857142857,0.11771428571428572,0.544
0.9238683127572016,0.0,0.6646090534979424
0.8330995792426368,0.3436185133239832,0.3492286115007013
0.9693251533742331,0.5337423312883436,0.5337423312883436
0.7478005865102639,0.38269794721407624,0.4310850439882698
0.9760319573901465,0.3262316910785619,0.340878828229028
0.9317738791423001,0.4697855750487329,0.4697855750487329
0.9567723342939481,0.3400576368876081,0.3400576368876081
0.9641618497109826,0.20578034682080926,0.5317919075144508
0.9626865671641791,0.39303482587064675,0.39303482587064675
0.9771986970684039,0.28773072747014117,0.4516829533116178
0.9842406876790831,0.15329512893982808,0.49426934097421205
0.8854166666666666,0.47708333333333336,0.47708333333333336
0.5097613882863341,0.29392624728850325,0.45336225596529284
0.970013037809648,0.3389830508474576,0.3389830508474576
0.5254691689008043,0.30831099195710454,0.3552278820375335
0.9792079207920792,0.47128712871287126,0.47128712871287126
0.9650053022269353,0.23860021208907742,0.432661717921527
0.9685314685314685,0.13111888111888112,0.5104895104895105
0.9622641509433962,0.2830188679245283,0.3915094339622642
0.9951397326852977,0.38031591737545567,0.38031591737545567
0.901219512195122,0.4121951219512195,0.4121951219512195
0.9823151125401929,0.18488745980707397,0.4180064308681672
0.9613130128956624,0.283704572098476,0.40093786635404455
0.9545454545454546,0.0,0.506198347107438
0.8970588235294118,0.3014705882352941,0.40588235294117647
0.8125701459034792,0.24803591470258138,0.48709315375982043
0.9174887892376682,0.3695067264573991,0.4304932735426009
0.8078291814946619,0.37841043890865955,0.37841043890865955
0.9511854951185496,0.4602510460251046,0.4602510460251046
0.9428571428571428,0.3362637362637363,0.3934065934065934
0.9756380510440835,0.2842227378190255,0.41299303944315546
0.9288537549407114,0.31225296442687744,0.3689064558629776
0.9693069306930693,0.46732673267326735,0.46732673267326735
0.9527665317139001,0.3576248313090418,0.3576248313090418
0.9333333333333333,0.3135802469135803,0.3962962962962963
0.849445324881141,0.22345483359746435,0.4009508716323296
0.9330855018587361,0.27137546468401486,0.4138785625774473
0.6785714285714286,0.3492063492063492,0.42724867724867727
0.9605633802816902,0.3352112676056338,0.3619718309859155
0.9786950732356857,0.32756324900133155,0.3448735019973369
0.9340490797546013,0.294478527607362,0.36809815950920244
0.9762611275964391,0.271513353115727,0.47181008902077154
0.9813874788494078,0.13367174280879865,0.4805414551607445
0.9673590504451038,0.3397626112759644,0.38724035608308605
0.9397590361445783,0.26706827309236947,0.5180722891566265
0.8692421991084696,0.3343239227340267,0.39821693907875183
0.8842482100238663,0.39618138424821003,0.39618138424821003
0.9478827361563518,0.2692725298588491,0.46796959826275786
0.9525179856115108,0.381294964028777,0.381294964028777
0.961926091825308,0.3896976483762598,0.4568868980963046
0.9746376811594203,0.2246376811594203,0.4975845410628019
0.9526123936816525,0.275820170109356,0.36330498177399756
0.9532497149372862,0.15507411630558723,0.4492588369441277
0.9654775604142692,0.3912543153049482,0.3912543153049482
0.9693769799366421,0.27560718057022177,0.4836325237592397
0.967816091954023,0.37126436781609196,0.4
0.9643347050754458,0.2606310013717421,0.39643347050754457
0.9747340425531915,0.38430851063829785,0.3976063829787234
0.9188888888888889,0.35444444444444445,0.36333333333333334
0.773356401384083,0.43944636678200694,0.43944636678200694
